,rank,SMILES,Enamine catalog ID,mol_weight,logP,PAINS passed,DockingScore
110,111,CCSCc1cccc(c1)NC(=O)NNC(=O)c1cccc(c1)O,Z1620558536,345.418,3.111800000000001,Yes,-12.625384330749512
111,112,O=C(N1CCCCC1C1CCCNC1)C(=O)NCCc1nn(c2c1cccc2)C,Z2365884845,397.515,1.6127000000000007,Yes,-12.619872093200684
112,113,CSc1nccc(c1)CNC(=O)Nc1ccc2c(c1)sc(n2)C,Z1579770382,344.457,4.043320000000002,Yes,-12.61108684539795
113,114,N#CCc1ccc(cc1)CNC(=O)NCC[C@H]1CCCN1,Z2438731095,286.373,1.69398,Yes,-12.608494758605955
114,115,CNCc1ccc(cc1)NC(=O)NC1CC2CCC1CC2,Z2356891695,287.401,3.106200000000001,Yes,-12.596282958984377
115,116,CCOCc1cccc(c1)NC(=O)NCC1(O)C2CC3CC1CC(C2)C3,PV-003753412252,358.475,3.5318000000000023,Yes,-12.594566345214844
116,117,Brc1ccc(cc1)C(COC(=O)c1ccc(cc1)CN1C(=O)CCC1=O)C,Z1843851601,430.292,4.058600000000004,Yes,-12.588184356689451
117,118,CCN(S(=O)(=O)C)CCCNC(=O)NCCc1ccc(c(c1)O)C,Z3659889800,357.470,1.2139199999999997,Yes,-12.587040901184082
118,119,CC1CCC2(CC1)NC(=O)N(C2=O)NC(=O)CCc1ccc(cc1)C(F)F,Z2766840587,379.402,3.088700000000002,Yes,-12.583120346069336
119,120,CCCCCC(C(=O)NCCc1ccc(c(c1)O)OC)O,Z2804584426,295.375,2.0006999999999997,Yes,-12.577840805053713
120,121,CC1CCCC(C1)CNC(=O)NCc1noc(c1)C1CCCC1,PV-002759266177,319.442,3.9577000000000027,Yes,-12.576730728149414
121,122,CCc1noc(c1)CNC(=O)Nc1ccc2c(c1)CCOC2,Z2626406763,301.341,2.631400000000001,Yes,-12.573800086975098
122,123,Fc1ccc(cc1)Cc1ncc(s1)C(=O)NCC(c1c(Cl)cccc1Cl)O,Z1253506871,425.306,4.643200000000003,Yes,-12.572279930114746
123,124,CC(Cc1cccc(c1)O)NC(=O)NCC12CC3CC(C1)CC(C2)(C3)O,Z3777147050,358.475,2.9537000000000018,Yes,-12.55636215209961
124,125,N#Cc1ccc(cc1F)NC(=O)N[C@@H]1C[C@H](C1)C(=O)OC(C)(C)C,PV-002393869020,333.358,2.9391800000000012,Yes,-12.552117347717283
125,126,Cc1ccc(cc1)C1CC(=O)N(C(=O)N1)Cc1ccc2c(c1)nn(c2)C,Z3211434962,348.399,3.0649200000000016,Yes,-12.547457695007324
126,127,CCN(C(=O)c1ccc(cc1)NC(=O)NCc1cccc(n1)C(F)F)CC,Z3997394052,376.401,3.8229000000000024,Yes,-12.533323287963867
127,128,Fc1ccc(cc1)Cn1c(=O)cc([nH]c1=O)NCC(C1CCC1)O,Z3558792084,333.358,1.2968999999999995,Yes,-12.533080101013184
